WorkoutId,MaxTargets,MaxDodges,MaxKneeStrikes,MaxScore
1277,1063,314,,380
1279,802,244,,292
1410,1361,452,,501
1300,463,166,,172
1299,570,193,,211
1311,983,515,,404
1354,729,249,,273
1353,405,138,,150
1458,601,309,,247
1220,997,512,,401
1355,1356,443,,500
1246,1162,367,,424
1464,694,431,,298
1310,870,645,,394
1394,978,542,,403
1298,627,318,,260
1482,694,553,,328
1219,647,268,,249
1467,717,568,,342
1471,811,753,,420
1465,744,273,,280
1454,864,492,,362
1461,1383,375,,490
1488,703,326,,283
1468,1001,471,,399
1466,876,287,,322
1514,843,367,,330
1517,862,181,,296
1518,1239,346,,440
1532,481,418,,231
1529,685,433,,296
1530,1240,651,,509
1566,644,355,,265
1519,571,331,,241
1534,689,437,,294
1535,900,417,,354
1539,544,357,,236
1567,497,284,,208
1555,671,413,,287
1556,1839,0,,558
1574,530,298,,222
1584,1057,317,,388
1564,809,305,,303
1591,762,662,,365
1570,500,599,,279
1403,2088,442,,715
1620,578,442,,268
1600,963,596,,419
1605,1212,537,,474
1632,575,603,,301
1658,728,298,,282
1645,1274,613,,513
1598,565,500,,275
1634,1119,478,,437
1654,1113,362,,409
1657,503,521,,260
1680,857,467,,358
1686,1459,596,,569
1669,476,201,,186
1710,1012,1151,,552
1703,1181,460,,451
1691,530,460,,263
1708,1071,573,,439
1687,1083,694,,472
1705,584,198,,215
1704,787,91,,256
1702,496,155,,181
1694,710,488,,318
1791,1227,1116,,608
1720,1318,507,,497
1741,625,457,,278
1661,940,545,,401
1667,1354,569,,527
1730,559,430,,254
1797,1164,609,,479
1725,1210,321,,428
1798,570,631,,300
1718,1200,530,,468
1739,1130,559,,459
1727,425,275,,186
1728,352,118,,127
1726,495,266,,204
1736,902,707,,419
1698,777,608,,362
1807,566,524,,279
1814,1074,627,,452
1721,734,784,,390
1749,1119,589,,458
1822,1064,353,,394
1629,750,699,,371
1696,658,341,,267
1817,1439,623,,564
1747,610,476,,297
1803,952,412,,369
1681,594,505,,287
1801,1285,477,,481
1804,586,287,,239
1805,305,241,,140
1707,1019,394,,383
1819,871,782,,421
1827,1360,337,,476
1852,1143,598,,473
1862,838,446,,344
1839,602,382,,259
1688,1076,327,,388
1848,1088,486,,422
1846,1272,623,,511
1858,1134,335,,412
1856,517,145,,186
1837,547,254,,213
1899,1014,418,,394
1836,311,172,,126
1835,346,249,,156
1866,503,361,,227
1870,1328,442,,488
1828,913,517,,385
1873,630,240,,237
1876,1243,414,,459
1882,723,384,,295
1652,884,624,,394
1883,1043,450,,403
1911,743,377,,299
1909,898,444,,360
1928,710,395,,297
1918,739,233,,270
1921,811,646,,377
1914,1565,838,,652
1919,563,366,,247
1997,601,410,,270
1925,850,438,,345
1916,563,248,,219
1931,1373,627,,543
1912,1053,439,,411
1970,379,277,,173
1990,1474,311,,505
1996,1245,487,,480
1940,644,314,,256
1945,926,731,,426
1989,1959,1111,,826
1948,804,243,,289
1939,814,458,,335
1949,416,253,,189
1947,663,373,,277
1941,1161,537,,461
1956,706,351,,282
1958,426,411,,217
1972,1077,441,,426
1982,823,396,,337
1981,410,204,,176
1953,910,480,,370
1951,860,399,,343
1984,1338,674,,545
1987,753,381,,307
1994,842,419,,342
1975,1044,353,,389
1917,413,183,,159
1993,784,339,,306
1944,782,453,,326
1937,1369,633,,550
2009,581,508,,278
1999,1494,819,,625
2012,1718,837,,700
2011,1126,636,,470
2026,604,553,,293
2027,1006,278,,358
2047,1531,430,,552
2034,1110,695,,478
2032,1155,0,,363
2037,700,171,,245
2038,336,181,,141
2079,1267,590,,506
2049,827,947,,455
2036,562,268,,225
2044,2100,538,,746
2093,1439,639,,563
2054,2254,585,,798
2073,1620,790,,651
2063,842,538,,367
2046,923,408,,366
2057,888,440,,365
2068,941,467,,385
2076,559,366,,243
2075,354,236,,153
2115,1159,714,,499
2074,616,237,,230
2133,693,272,,265
2052,867,302,,323
2157,998,529,,410
2081,606,337,,254
2084,1903,692,,721
2029,2206,670,,801
2102,782,677,,370
2086,637,534,,304
2062,1624,820,,666
2078,2994,0,,916
2165,1219,465,,465
2173,669,369,,277
2087,1209,412,,457
2111,2187,781,,812
2100,969,332,,362
2108,936,232,,330
2202,1187,517,,471
2117,1668,727,,654
2066,907,834,,459
2106,422,221,,176
2097,1979,1057,,816
2110,979,471,,397
2113,1583,1331,,753
2116,651,236,,248
2120,1157,679,,485
2107,622,345,,255
2166,1255,290,,437
2193,1227,860,,553
2177,721,196,,264
2204,560,275,,224
2185,536,325,,230
2191,476,415,,226
2118,754,482,,329
2178,788,421,,322
2180,623,580,,317
2205,866,637,,389
2187,967,519,,394
2181,823,792,,414
2192,592,641,,308
2216,1209,0,,399
2217,1657,759,,649
2220,597,361,,254
2260,1415,515,,533
2237,752,729,,375
2223,795,630,,368
2224,335,300,,162
2240,1944,1330,,861
2228,1396,661,,562
2227,872,610,,396
2235,689,247,,255
2070,1183,441,,450
2262,2029,463,,707
