WorkoutId,MaxTargets,MaxTriangles,MaxScore
157,2747,346,,653
175,2923,408,,707
176,3354,425,,798
181,2682,445,,670
183,5522,753,,1330
195,4164,485,,978
196,2809,296,,651
197,4889,751,,1203
199,2029,228,,474
200,3116,440,,755
212,2632,440,,658
213,1446,409,,412
216,2642,328,,627
217,2106,215,,486
230,1903,239,,452
233,2926,321,,682
244,4759,755,,1178
246,1122,239,,296
249,3881,558,,944
253,822,178,,218
265,2150,313,,524
266,1496,353,,405
269,1979,532,,555
270,3395,411,,802
271,2342,280,,552
272,1332,229,,335
275,1143,388,,345
277,3194,602,,819
278,1799,257,,437
279,2777,409,,678
280,2819,375,,676
281,1343,159,,316
282,1708,382,,456
283,3154,518,,786
284,2838,457,,705
285,5382,989,,1373
295,1058,255,,288
296,5199,617,,1225
297,2331,220,,532
299,2001,378,,514
300,4221,665,,1044
303,1302,164,,310
304,3828,488,,912
305,3782,1341,,1159
306,2256,372,,563
307,3466,720,,909
308,2496,644,,692
309,1279,301,,346
312,2922,498,,734
313,1689,562,,506
315,1321,283,,349
316,667,237,,204
317,3102,714,,835
318,2738,499,,697
319,2895,379,,693
323,5721,759,,1372
326,1406,319,,377
327,2622,318,,620
328,1296,391,,376
329,942,377,,302
330,1538,406,,429
334,1611,164,,371
335,2732,717,,762
336,2461,444,,625
338,2180,371,,547
339,2262,371,,564
340,1626,530,,484
341,1710,457,,479
344,3358,436,,802
347,1699,505,,491
348,2260,482,,597
349,3407,658,,879
351,3070,1341,,1016
352,2831,712,,780
353,3637,1061,,1046
354,1557,329,,410
356,1692,610,,521
357,3087,716,,832
358,2853,731,,790
362,4317,931,,1143
364,1728,578,,519
366,1467,337,,394
370,1701,450,,475
371,564,215,,177
372,2436,528,,646
373,1863,704,,584
374,2169,898,,703
375,2353,318,,566
379,2681,631,,726
381,2744,338,,650
383,1893,552,,544
384,2548,423,,636
385,1206,327,,339
386,973,305,,286
388,3704,958,,1028
389,2487,491,,645
390,1826,471,,506
392,791,373,,270
396,2784,851,,812
397,1195,415,,364
408,1424,597,,464
410,2229,548,,610
411,3140,716,,843
423,3795,410,,882
424,2971,522,,751
425,2261,464,,591
426,1979,622,,582
427,3302,302,,751
428,1248,129,,288
429,590,153,,164
430,2082,418,,542
438,1519,220,,370
445,1351,522,,427
449,3861,460,,910
450,2934,572,,758
452,1294,379,,372
453,1486,197,,356
454,597,207,,182
455,1325,131,,304
457,1103,274,,303
458,1556,614,,495
461,1393,400,,399
464,1635,253,,403
466,2916,622,,770
467,1276,852,,511
474,1073,264,,294
475,1867,278,,457
476,787,185,,213
477,2809,998,,861
478,2124,621,,611
479,2710,420,,668
480,1001,343,,303
481,2416,414,,607
482,3559,457,,849
485,2598,606,,701
486,1196,401,,360
487,735,118,,182
488,1139,356,,335
490,2571,873,,776
492,996,272,,281
493,2825,516,,720
496,1163,117,,268
497,582,282,,201
499,2253,311,,544
500,2504,629,,690
501,777,192,,213
502,2440,473,,630
503,3460,547,,856
505,1911,582,,557
506,1499,468,,440
507,819,198,,223
508,909,248,,256
509,2099,469,,560
510,1509,450,,437
511,1329,232,,335
516,3474,600,,875
517,3137,301,,718
518,1227,290,,332
520,1521,423,,431
521,489,117,,133
522,910,179,,236
523,2806,356,,668
526,5120,1107,,1356
527,641,147,,172
528,2877,436,,706
531,1862,0,,372
532,1458,437,,423
533,2527,446,,639
535,2292,470,,599
536,3213,377,,756
537,2346,388,,586
546,3698,657,,937
549,1239,193,,306
550,1184,208,,299
551,485,137,,138
552,2975,384,,710
555,1716,376,,456
556,1277,256,,332
557,1500,573,,472
558,368,121,,110
559,2573,483,,660
560,1793,329,,457
562,3802,628,,949
563,1132,246,,300
564,1455,396,,410
566,4964,1830,,1542
567,1069,211,,277
568,1020,346,,308
570,2323,262,,543
571,1672,595,,513
572,1289,329,,356
573,3019,483,,749
577,3510,828,,950
578,2965,302,,684
579,1121,173,,276
580,617,129,,162
581,1517,136,,344
582,2421,943,,767
583,1655,466,,471
584,3721,773,,976
585,2228,535,,606
586,844,216,,234
588,2069,341,,516
589,4677,677,,1138
590,1916,803,,624
591,809,535,,322
592,1693,231,,408
593,1967,592,,571
594,2849,483,,715
595,1496,366,,409
596,3439,571,,859
601,1236,376,,360
603,1045,369,,320
604,234,41,,59
605,2599,385,,635
606,1577,129,,354
607,801,230,,229
608,591,153,,164
609,2065,231,,482
610,1442,375,,401
616,2583,685,,722
617,2026,285,,491
618,1641,217,,393
619,1321,185,,320
620,432,195,,145
621,546,404,,230
622,4005,742,,1024
623,1442,383,,403
624,2409,802,,722
625,625,180,,179
626,2887,557,,744
628,3775,688,,961
632,1297,160,,307
633,1054,554,,377
634,2459,740,,714
636,1584,351,,422
637,2870,558,,741
638,514,175,,155
639,892,194,,237
640,1321,458,,402
644,1560,808,,554
645,5369,855,,1330
650,1171,364,,343
651,2453,308,,583
652,1522,257,,382
653,1420,122,,321
654,924,116,,220
656,2996,573,,771
657,1314,0,,263
660,3447,451,,825
661,1182,183,,291
662,3057,454,,748
666,2648,522,,686
667,1360,379,,386
669,2596,569,,690
670,2823,351,,670
671,1567,499,,463
672,2228,506,,597
674,616,316,,218
675,4182,492,,984
677,1080,346,,320
684,3167,694,,842
685,2937,554,,754
686,1469,518,,449
687,1467,212,,357
688,657,346,,235
689,496,312,,193
690,2861,1001,,872
695,840,78,,191
698,1950,312,,484
717,1384,462,,415
703,2711,523,,699
704,1828,579,,539
680,3006,497,,750
705,1758,212,,415
706,1031,184,,261
707,710,134,,182
708,2998,878,,863
701,3880,656,,973
682,1641,403,,449
681,2744,541,,711
635,3289,803,,899
719,1354,175,,323
720,1193,235,,309
721,391,194,,136
655,2095,501,,569
722,2800,259,,638
723,1204,505,,392
724,2394,437,,610
726,1615,574,,495
725,5573,836,,1365
679,2700,434,,670
710,1548,125,,347
711,1029,365,,315
712,398,668,,280
728,1574,582,,489
699,1718,353,,450
730,2509,624,,689
731,1402,541,,443
732,2557,330,,610
673,1149,111,,263
733,1629,403,,447
734,532,195,,165
735,2191,671,,640
700,4016,568,,974
736,1146,288,,316
737,1359,388,,388
750,5286,864,,1316
751,1931,543,,549
752,1032,86,,232
753,1124,223,,292
754,1054,329,,310
757,1837,996,,666
756,4534,606,,1089
697,2682,540,,698
758,2283,511,,610
759,2360,238,,543
760,1751,559,,518
767,921,160,,232
768,969,161,,242
769,690,129,,177
761,2875,80,,599
770,2740,623,,735
702,837,379,,281
771,2403,514,,635
772,3159,764,,861
773,1529,566,,476
776,1108,364,,331
774,1616,343,,426
775,677,191,,193
648,355,126,,109
649,462,192,,150
646,518,148,,148
611,285,165,,106
643,399,120,,116
755,2367,609,,656
786,3127,476,,768
787,1287,558,,425
788,6201,1482,,1685
790,2515,680,,707
789,1109,549,,386
792,975,228,,263
793,547,241,,182
791,1351,298,,360
795,1054,213,,275
803,1860,341,,474
810,2822,872,,826
794,985,289,,284
808,1312,405,,384
804,2740,467,,688
807,646,225,,197
805,1065,308,,305
806,910,227,,250
802,2867,881,,838
801,2140,794,,666
818,1402,469,,421
811,3967,783,,1028
812,2738,489,,694
809,1522,444,,438
819,1439,231,,357
822,3273,893,,922
821,871,70,,195
820,1191,4,,239
823,3681,848,,991
824,1461,671,,494
817,2006,531,,560
825,1414,588,,459
876,2205,1569,,912
856,1802,474,,503
855,576,162,,164
850,1642,514,,482
827,328,216,,130
857,1328,537,,427
858,3148,440,,762
668,2923,696,,793
869,1368,630,,463
878,3980,909,,1069
871,502,191,,158
877,1493,130,,338
874,604,641,,313
879,2339,676,,671
875,3384,420,,803
853,2727,424,,673
777,3647,1452,,1165
883,3234,494,,795
887,1027,550,,370
893,649,234,,200
892,1550,274,,392
854,867,305,,265
884,2784,602,,737
888,3422,918,,960
891,1763,415,,477
894,6105,715,,1436
889,860,341,,274
903,1682,687,,543
899,1904,646,,575
905,483,62,,115
898,4137,618,,1013
900,1346,602,,450
937,4002,508,,953
918,557,145,,155
904,1322,182,,319
826,2317,346,,567
897,2872,1017,,880
906,1582,565,,486
915,1457,731,,511
886,1782,783,,591
895,1098,559,,387
907,3443,1020,,995
921,1594,858,,576
813,3195,463,,778
870,1569,695,,522
916,1329,323,,363
917,952,422,,317
945,641,116,,163
922,2637,527,,686
923,2747,597,,728
924,328,126,,103
925,2408,507,,634
936,8189,1268,,2018
942,1767,762,,582
852,723,550,,310
927,1531,227,,374
926,1186,452,,373
928,1213,275,,325
939,1326,690,,472
938,3094,708,,831
896,2782,1291,,944
941,3079,545,,779
940,3060,1005,,914
959,797,97,,188
958,1179,183,,291
960,649,321,,226
961,137,104,,59
962,3337,582,,842
963,1194,699,,448
965,4971,1237,,1365
966,2764,429,,682
964,1824,651,,560
967,1441,526,,446
851,3641,601,,908
994,1757,732,,571
989,1352,191,,328
990,953,175,,243
984,1805,623,,548
991,518,210,,167
985,1914,739,,604
986,2238,626,,635
993,3503,901,,971
988,1672,694,,543
987,3761,869,,1013
983,1900,384,,495
981,747,291,,237
980,759,155,,198
979,1387,162,,326
