SN ID,SN ID (from Songs),SN ID (from Locations)
2602,3350,141
2602,3357,87
2602,1076,41
2603,3353,156
2603,3354,140
2603,2942,51
2603,2230,98
2603,3161,146
2603,192,60
2599,2506,80
2599,543,118
2600,2445,11
2600,1896,53
2601,2864,50
2601,2860,18
2597,342,48
2597,3107,94
2597,2328,112
2597,3158,2
2596,1607,115
2596,1413,105
2596,1659,44
2596,291,116
2736,1237,6
2595,1179,17
2595,1293,3
2595,1651,155
2595,1987,138
2595,1124,51
2595,1558,113
2595,1131,160
2595,1634,65
2594,1386,178
2594,2992,35
2594,3359,53
2594,2980,127
2594,611,92
2594,3119,8
2594,2541,41
2594,2362,145
2594,3358,101
2594,3203,54
2593,2024,81
2593,3363,2
2593,330,135
2593,3361,90
2593,3364,165
2592,1065,11
2592,207,40
2592,3348,56
2592,1923,87
2591,3183,17
2591,3336,101
2591,510,25
2591,2920,146
2590,3322,77
2590,1105,100
2590,3323,123
2590,170,79
2590,2660,117
2589,3329,38
2589,713,80
2589,1472,138
2589,1470,6
2589,1468,58
2441,1509,59
2441,3271,93
2441,3272,34
2441,917,5
2587,2587,164
2587,3345,158
2587,2226,161
2587,1442,127
2588,3309,139
2588,1942,135
2588,3308,18
2588,311,74
2588,2850,146
2586,2708,59
2586,2710,67
2585,2423,56
2585,2422,139
2440,493,143
2440,2914,47
2555,1685,37
2555,843,136
2555,3328,107
2555,986,91
2554,3325,69
2554,431,95
2554,3326,141
2554,1232,90
2554,3327,140
2552,2912,18
2552,1056,164
2552,3188,124
2552,2242,6
2553,3319,74
2553,742,78
2553,3320,89
2553,738,66
2553,2272,33
2735,1226,20
2551,3368,98
2551,3367,72
2551,3366,165
2551,3158,90
2551,3365,28
2550,3312,139
2550,420,70
2550,543,92
2549,3314,99
2549,355,116
2549,3313,2
2549,2119,62
2548,2892,143
2548,1179,146
2548,2991,93
2548,3307,59
2548,1126,179
2546,1741,112
2546,257,159
2546,3273,41
2546,996,17
2547,3333,95
2547,3334,47
2547,2302,101
2547,1832,52
2547,2330,161
2544,3306,65
2544,2467,5
2544,3302,167
2544,3301,108
2544,2400,62
2545,2177,123
2545,2608,32
2545,3303,145
2545,1921,54
2545,3304,92
2545,1920,38
2542,638,106
2542,1382,75
2541,883,84
2541,2390,56
2543,1956,67
2543,2202,161
2449,3362,47
2449,669,108
2449,920,113
2449,1707,135
2449,1174,45
2530,2076,91
2530,493,110
2530,491,145
2530,2913,98
2536,1041,118
2536,3279,165
2536,2371,81
2536,1256,87
2531,1087,156
2531,1086,35
2531,1986,86
2531,2896,138
2531,3274,127
2734,1224,28
2537,1323,8
2537,3311,159
2537,1111,78
2537,3310,111
2537,2996,58
2448,3316,65
2448,3049,117
2448,2771,77
2448,1504,101
2538,1669,70
2538,2060,50
2538,3318,8
2538,3011,32
2538,2425,38
2533,3315,94
2533,3265,27
2533,3264,104
2533,3266,45
2533,2141,54
2539,2513,20
2539,1944,6
2539,3305,70
2529,906,82
2529,2669,105
2529,324,160
2529,3292,44
2529,3285,62
2528,528,11
2528,2141,163
2528,261,178
2528,1161,72
2528,1904,110
2528,2919,158
2528,3084,146
2528,2809,17
2528,2273,95
2528,343,52
2528,1166,90
2528,2406,139
2532,3280,146
2532,3281,161
2532,2537,53
2532,3282,139
2532,2291,80
2526,2476,117
2526,2243,89
2527,2911,69
2527,378,68
2525,1181,67
2525,2416,145
2534,2786,135
2534,814,164
2534,102,27
2534,1703,17
2522,3287,28
2522,3207,110
2522,3050,146
2521,3293,66
2521,2405,64
2521,2941,33
2521,3294,98
2521,891,99
2420,2839,20
2420,3242,2
2420,3241,92
2420,3243,140
2733,1207,18
2518,3275,161
2518,3276,113
2518,3277,90
2518,1389,160
2352,3102,64
2352,2133,136
2352,641,113
2352,339,135
2352,1231,80
2352,3001,41
