Name,Description,Date,IntensityId,Length,CoachId,GenreIdList,SongIdList,SpotifyLink,WorkoutId,MaxTargets,LocationIdList,WorkoutType,MaxScore,MaxDodges,MaxKneeStrikes,MaxTriangles
The Present ,Take a deep breath and get centered as Leanne guides you back into the present moment.,4/25/2020,0,17:14,25,,"134, 172, 160, 158, 100",https://open.spotify.com/playlist/2ljk7X1EVtzSO3p3ANiHX8?si=czPor5BkSWm16nrJMcEu_Q,157,2747,"76, 38, 6, 28, 18",classic,653,,,346
Transform ,"True transformation takes hard work and dedication. Get big, get bold, and get determined! Leanne leads you through a top-shelf playlist all about focusing on the self, and making big changes.",4/26/2020,3,16:10,25,19,"132, 168, 163, 170, 99",https://open.spotify.com/playlist/4ENd0oYbKaeQVS9dp3uJv9?si=PZSTcAkZS3O0QTaxlUxS4g,175,2923,"38, 32, 5, 11, 20",classic,707,,,408
"Joy ""Debut""",Just let go with Leanne as she helps you celebrate the joy of movement.,4/18/2020,3,23:12,25,"19, 23","134, 64, 99, 138, 61, 102, 155",https://open.spotify.com/playlist/2ghWvap0cNYoHcC8nyZ2vG?si=PAURdQnYRYyC3xZQ2LB9Ww,176,3354,"5, 27, 13, 18, 28, 8, 62",classic,798,,,425
"Girl Power ""Debut""","Ready to experience girl power? Leanne is here with an awesome playlist with some of our favorite female artists! Get moving with some quick lunges and squats and rotational work, then dive in and get sweating!",5/3/2020,0,19:26,25,,"437, 209, 168, 233, 236",https://open.spotify.com/playlist/5OgrCKp0Rt1bf30xhOwuHR?si=qeTs82d0QJe7QwMKqFTOBw,181,2682,"76, 25, 37, 77, 62",classic,670,,,445
"Monster ""Debut""","Leanne is here with one monster of a workout. This absolute beast starts out strong and doesn't let up, with a fresh mix of high-BPM songs designed to start at a higher pace and hold that intensity throughout. Get ready for a real test of endurance!",5/12/2020,0,29:35:00,25,,"152, 172, 205, 158, 162, 170, 62, 153",https://open.spotify.com/playlist/4WuVl6WlSsNuK8kWi5Gkwk?si=SLjroC6qS7eyXzOGRHFFwg,183,5522,"1, 29, 8, 41, 40, 6, 18, 13",classic,1330,,,753
Tough ,"Coach Doc helps you strengthen your core with a full-body effort. Get ready to squat, lunge, and strike your way through this tough workout.",4/19/2020,3,20:49,28,"19, 20, 22","134, 205, 158, 162, 168, 69",https://open.spotify.com/playlist/7c7NbzQ3q30TUbdgKsmaeY?si=4Bt7h6vVRMmJdvdHdtynxA,195,4164,"29, 37, 11, 35, 5, 27",classic,978,,,485
Power Jams ,Focus on the power of your movements as Coach Doc turns your workout into a hurricane!,4/23/2020,0,17:21,28,,"133, 163, 158, 170, 62",https://open.spotify.com/playlist/40DhdEMvTfPQwEwD62Z2UQ?si=U77VRKEVS1a_nrD3ZB4qeQ,196,2809,"26, 62, 28, 16, 27",classic,651,,,296
"Rapattack ""Debut""","Coach Doc will push your boundaries with this all out rap attack designed from the ground up to get you MOVING. Start out with a chill beat, steadily ramp up the pace, and end on max intensity!",5/9/2020,3,26:36:00,28,21,"152, 263, 278, 215, 207, 259, 153, 234",https://open.spotify.com/playlist/0ncg38oEaNcBgolLGnaESG?si=kVLmXHkKRjWytUd45A4l9w,197,4889,"1, 31, 20, 16, 11, 3, 6, 26",classic,1203,,,751
Perfect Day ,"Your perfect day has arrived! Raneir is here to take you on a happy-go-lucky journey through a dancey, up-beat playlist that's sure to get you sweating!",4/30/2020,3,14:28,27,19,"152, 185, 172, 160",https://open.spotify.com/playlist/4j2Csgi1m0Yzdfwot5mEVa?si=KqAoHx-DRxyDSMnufnrb3w,199,2029,"18, 5, 35, 38",classic,474,,,228
Funout ,It’s time to get absolutely crazy and have some fun with Raneir as you work your body to high energy tracks.,4/20/2020,3,16:59,27,19,"132, 160, 167, 139, 102",https://open.spotify.com/playlist/2ZACB3gJSS6Bzs0JQmwoK5?si=Q78DmZrOQZG_slVVitHfsg,200,3116,"16, 6, 5, 20, 27",classic,755,,,440
Dive In ,"Leanne is here with an excellent, medium intensity workout all about diving deep and finding your inner strength. Start out by loosening up the shoulders, then jump in with OK Go, The Knocks and Twenty One Pilots!",5/28/2020,2,17:01,25,"19, 20","132, 160, 329, 109, 237",https://open.spotify.com/playlist/5h9nyJrMzWe6S2P5EAnxVv?si=r9yZf_9UQHKBx13slr_jzQ,212,2632,"18, 34, 44, 27, 5",classic,658,,,440
Staying Power,"An approachable, yet challenging workout with a fun mix of Alt Rock and Indie favorites. Dig deep, find your strength, and show some staying power! [Low Intensity]",5/27/2020,1,19:05,25,20,"235, 378, 355, 172, 170",,213,1446,"8, 33, 35, 43, 11",classic,412,,,409
